Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-06-26T04:00:00.000Z,489.0734771623,494.0933776558,488.9048109763,493.5080566406,21578900,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-06-27T04:00:00.000Z,493.6072676772,495.3434002058,489.1230962739,492.0100402832,34539200,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-06-30T04:00:00.000Z,493.1013206196,496.7918434811,491.4048493526,493.4683837891,28369000,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-01T04:00:00.000Z,492.5358364146,494.1033027388,487.0893503725,488.1508483887,19945400,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-02T04:00:00.000Z,486.1071969258,489.5893925673,484.8274409809,487.1984863281,16319600,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-03T04:00:00.000Z,489.896944933,496.1668712112,489.5298817337,494.8870849609,13984800,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-07T04:00:00.000Z,493.4386378219,494.7977767455,491.30568103,493.7759399414,13981600,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-08T04:00:00.000Z,493.2997134401,494.2521279146,490.194511642,492.6846313477,11846600,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-09T04:00:00.000Z,496.3354652236,502.7641267188,495.7799052485,499.5200500488,18659500,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-10T04:00:00.000Z,499.0636698761,500.4426696345,493.8056807648,497.5061340332,16492100,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-11T04:00:00.000Z,494.5200000463,501.0280145407,493.8552959728,499.3315734863,16459500,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-14T04:00:00.000Z,497.5458219139,499.9764196247,497.059714482,499.0339355469,12058800,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-15T04:00:00.000Z,499.0339372881,504.2720960834,498.80577924,501.8117675781,14927200,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-16T04:00:00.000Z,501.1768265275,502.7046316793,497.9129190668,501.6133422852,15154400,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-17T04:00:00.000Z,501.6728567426,509.3019216631,501.6133346198,507.6451721191,17503100,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-18T04:00:00.000Z,510.403097405,510.5618634291,503.4089756844,506.0082092285,21209700,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-21T04:00:00.000Z,502.6946678023,508.0320701704,501.543856361,506.0181274414,14066800,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2025-07-22T04:00:00.000Z,506.9209572791,507.1491456054,501.2661132812,501.2661132812,13868600,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
